First Name,Last Name,Full Name,Sex,Season,Age,Placement,Starting Tribe,Difficulty
Danni,Boatwright,Danni Boatwright,F,40,43,19,Blue,E
Ethan,Zohn,Ethan Zohn,M,40,45,18,Blue,E
Rob,Mariano,Rob Mariano,M,40,43,17,Blue,E
Sandra,Diaz-Twine,Sandra Diaz-Twine,F,40,44,16,Red,E
Parvati,Shallow,Parvati Shallow,F,40,36,15,Blue,E
Yul,Kwon,Yul Kwon,M,40,44,14,Red,E
Wendell,Holland,Wendell Holland,M,40,35,13,Red,E
Adam,Klein,Adam Klein,M,40,28,12,Blue,E
Tyson,Apostol,Tyson Apostol,M,40,39,11,Red,E
Sophie,Clarke,Sophie Clarke,F,40,29,10,Red,E
Kim,Spradlin,Kim Spradlin,F,40,36,9,Red,E
Jeremy,Collins,Jeremy Collins,M,40,41,8,Blue ,E
Nick,Wilson,Nick Wilson,M,40,28,7,Red,E
Denise,Stapley,Denise Stapley,F,40,48,6,Blue,E
Ben,Driebergen,Ben Driebergen,M,40,36,5,Blue,E
Sarah,Lacina,Sarah Lacina,F,40,34,4,Red,E
Michele,Fitzgerald,Michele Fitzgerald,F,40,29,3,Blue,E
Natalie,Anderson,Natalie Anderson,F,40,33,2,Blue,E
Tony,Vlachos,Tony Vlachos,M,40,45,1,Red,E
Eric,Abraham,Eric Abraham,M,41,50,18,Yellow,H
Sara,Wilson,Sara Wilson,F,41,23,17,Green,H
David,Voce,David Voce,M,41,34,16,Yellow,E
Brad,Reese,Brad Reese,M,41,49,15,Green,M
JD,Robinson,JD Robinson,M,41,20,14,Green,M
Genie,Chen,Genie Chen,F,41,46,13,Green,M
Sydney,Segal,Sydney Segal,F,41,25,12,Blue,E
Tiffany,Seely,Tiffany Seely,F,41,47,11,Yellow,E
Naseer,Muttalif,Naseer Muttalif,M,41,36,10,Blue,E
Evvie,Jagoda,Evvie Jagoda,F,41,28,9,Yellow,E
Shan,Smith,Shan Smith,F,41,34,8,Green,E
Liana,Wallace,Liana Wallace,F,41,20,7,Yellow,E
Danny,McCray,Danny McCray,M,41,33,6,Blue,E
Ricard,Foye,Ricard Foye,M,41,31,5,Green,E
Heather,Aldret,Heather Aldret,F,41,52,4,Blue,E
Xander,Hastings,Xander Hastings,M,41,20,3,Yellow,E
Deshawn,Radden,Deshawn Radden,M,41,25,2,Blue,E
Erika,Casupanan,Erika Casupanan,F,41,31,1,Blue,E
